date,value,vintage_date,realtime_start,realtime_end
2023-01-01,3.3,2025-03-05,2025-03-05,2025-03-05
2023-02-01,3.3,2025-03-05,2025-03-05,2025-03-05
2023-03-01,3.3,2025-03-05,2025-03-05,2025-03-05
2023-04-01,3.2,2025-03-05,2025-03-05,2025-03-05
2023-05-01,3.2,2025-03-05,2025-03-05,2025-03-05
2023-06-01,3.3,2025-03-05,2025-03-05,2025-03-05
2023-07-01,3.3,2025-03-05,2025-03-05,2025-03-05
2023-08-01,3.3,2025-03-05,2025-03-05,2025-03-05
2023-09-01,3.3,2025-03-05,2025-03-05,2025-03-05
2023-10-01,3.3,2025-03-05,2025-03-05,2025-03-05
2023-11-01,3.3,2025-03-05,2025-03-05,2025-03-05
2023-12-01,3.3,2025-03-05,2025-03-05,2025-03-05
2024-01-01,3.3,2025-03-05,2025-03-05,2025-03-05
2024-02-01,3.3,2025-03-05,2025-03-05,2025-03-05
2024-03-01,3.4,2025-03-05,2025-03-05,2025-03-05
2024-04-01,3.4,2025-03-05,2025-03-05,2025-03-05
2024-05-01,3.5,2025-03-05,2025-03-05,2025-03-05
2024-06-01,3.6,2025-03-05,2025-03-05,2025-03-05
2024-07-01,3.6,2025-03-05,2025-03-05,2025-03-05
2024-08-01,3.6,2025-03-05,2025-03-05,2025-03-05
2024-09-01,3.6,2025-03-05,2025-03-05,2025-03-05
2024-10-01,3.6,2025-03-05,2025-03-05,2025-03-05
2024-11-01,3.6,2025-03-05,2025-03-05,2025-03-05
2024-12-01,3.6,2025-03-05,2025-03-05,2025-03-05
2023-01-01,3.3,2025-03-17,2025-03-17,2025-03-17
2023-02-01,3.3,2025-03-17,2025-03-17,2025-03-17
2023-03-01,3.3,2025-03-17,2025-03-17,2025-03-17
2023-04-01,3.2,2025-03-17,2025-03-17,2025-03-17
2023-05-01,3.2,2025-03-17,2025-03-17,2025-03-17
2023-06-01,3.3,2025-03-17,2025-03-17,2025-03-17
2023-07-01,3.3,2025-03-17,2025-03-17,2025-03-17
2023-08-01,3.3,2025-03-17,2025-03-17,2025-03-17
2023-09-01,3.3,2025-03-17,2025-03-17,2025-03-17
2023-10-01,3.3,2025-03-17,2025-03-17,2025-03-17
2023-11-01,3.3,2025-03-17,2025-03-17,2025-03-17
2023-12-01,3.3,2025-03-17,2025-03-17,2025-03-17
2024-01-01,3.3,2025-03-17,2025-03-17,2025-03-17
2024-02-01,3.3,2025-03-17,2025-03-17,2025-03-17
2024-03-01,3.4,2025-03-17,2025-03-17,2025-03-17
2024-04-01,3.4,2025-03-17,2025-03-17,2025-03-17
2024-05-01,3.5,2025-03-17,2025-03-17,2025-03-17
2024-06-01,3.6,2025-03-17,2025-03-17,2025-03-17
2024-07-01,3.6,2025-03-17,2025-03-17,2025-03-17
2024-08-01,3.6,2025-03-17,2025-03-17,2025-03-17
2024-09-01,3.6,2025-03-17,2025-03-17,2025-03-17
2024-10-01,3.6,2025-03-17,2025-03-17,2025-03-17
2024-11-01,3.6,2025-03-17,2025-03-17,2025-03-17
2024-12-01,3.6,2025-03-17,2025-03-17,2025-03-17
2025-01-01,3.6,2025-03-17,2025-03-17,2025-03-17
2023-01-01,3.3,2025-03-28,2025-03-28,2025-03-28
2023-02-01,3.3,2025-03-28,2025-03-28,2025-03-28
2023-03-01,3.3,2025-03-28,2025-03-28,2025-03-28
2023-04-01,3.2,2025-03-28,2025-03-28,2025-03-28
2023-05-01,3.2,2025-03-28,2025-03-28,2025-03-28
2023-06-01,3.3,2025-03-28,2025-03-28,2025-03-28
2023-07-01,3.3,2025-03-28,2025-03-28,2025-03-28
2023-08-01,3.3,2025-03-28,2025-03-28,2025-03-28
2023-09-01,3.3,2025-03-28,2025-03-28,2025-03-28
