NAME,median_household_income,total_poverty_determined,total_below_poverty,total_education_25plus,bachelors_degree,total_employment_16plus,in_labor_force,unemployed,median_home_value,median_gross_rent,total_occupied_housing,owner_occupied,renter_occupied,total_population,median_age,total_race,white_alone,black_alone,asian_alone,hispanic_or_latino,total_internet_hh,with_internet,state,county,tract,county_name,poverty_rate,unemployment_rate,homeownership_rate,internet_access_rate
Census Tract 1; Fulton County; Georgia,154808,5159,438,4097,1882,4364,2842,60,831500,1707,2458,1545,913,5160,44.8,5160,4439,140,298,90,2458,2443,13,121,000100,Fulton,8.49,2.11,62.86,99.39
Census Tract 2.01; Fulton County; Georgia,120982,2233,44,1753,702,1925,1606,49,612400,1747,1220,805,415,2233,40.2,2233,1923,276,0,313,1220,1200,13,121,000201,Fulton,1.97,3.05,65.98,98.36
Census Tract 2.02; Fulton County; Georgia,182409,3978,105,3056,1035,3145,2296,187,730500,3071,1681,1420,261,4106,41.6,4106,3450,118,122,302,1681,1667,13,121,000202,Fulton,2.64,8.14,84.47,99.17
Census Tract 4; Fulton County; Georgia,127500,1890,55,1615,466,1918,1215,53,656800,2126,1064,712,352,2014,43.1,2014,1642,247,93,68,1064,1012,13,121,000400,Fulton,2.91,4.36,66.92,95.11
Census Tract 5.01; Fulton County; Georgia,103485,4162,631,3236,1651,4175,3471,112,388700,2063,2416,1187,1229,4385,30.4,4385,1977,1411,757,226,2416,2314,13,121,000501,Fulton,15.16,3.23,49.13,95.78
Census Tract 5.02; Fulton County; Georgia,120357,1779,40,1381,436,1505,1029,4,1139600,2038,816,653,163,1779,48.4,1779,1421,90,89,38,816,795,13,121,000502,Fulton,2.25,0.39,80.02,97.43
Census Tract 6.01; Fulton County; Georgia,76346,3581,1105,2222,813,4493,3157,291,367100,1864,1814,191,1623,4626,24.3,4626,2241,1117,612,378,1814,1763,13,121,000601,Fulton,30.86,9.22,10.53,97.19
Census Tract 6.02; Fulton County; Georgia,65391,2960,835,2027,901,2894,2133,111,237500,1829,1664,481,1183,2960,27.5,2960,1272,761,712,127,1664,1567,13,121,000602,Fulton,28.21,5.2,28.91,94.17
Census Tract 7; Fulton County; Georgia,103167,879,132,2658,290,2795,567,56,441200,1681,392,251,141,2897,41.3,2897,1061,1577,64,235,392,355,13,121,000700,Fulton,15.02,9.88,64.03,90.56
Census Tract 10.01; Fulton County; Georgia,100278,3831,769,2531,901,4725,3389,53,442100,2235,2224,709,1515,4800,25.5,4800,2194,659,1195,388,2224,2109,13,121,001001,Fulton,20.07,1.56,31.88,94.83
Census Tract 10.02; Fulton County; Georgia,43938,1267,412,728,332,7337,2226,233,-666666666,1640,685,8,677,7337,20.4,7337,2947,2092,1726,597,685,660,13,121,001002,Fulton,32.52,10.47,1.17,96.35
Census Tract 11.01; Fulton County; Georgia,123250,3405,282,3010,1075,3147,2654,162,359500,2217,2269,1769,500,3405,39.8,3405,2419,348,146,426,2269,2065,13,121,001101,Fulton,8.28,6.1,77.96,91.01
Census Tract 11.02; Fulton County; Georgia,113689,3488,210,3096,1487,3426,2902,125,416100,2258,2591,548,2043,3488,33.8,3488,2724,317,91,425,2591,2425,13,121,001102,Fulton,6.02,4.31,21.15,93.59
Census Tract 12.03; Fulton County; Georgia,73066,2717,220,1978,1130,2625,2207,0,613000,1881,1917,298,1619,2717,29.5,2717,1685,614,239,195,1917,1868,13,121,001203,Fulton,8.1,0.0,15.55,97.44
Census Tract 12.04; Fulton County; Georgia,104414,1939,125,1679,657,1880,1776,49,468900,1653,1414,788,626,1939,43.1,1939,1481,42,145,73,1414,1414,13,121,001204,Fulton,6.45,2.76,55.73,100.0
Census Tract 12.05; Fulton County; Georgia,100245,1973,183,1535,659,1821,1653,14,249400,1737,1495,849,646,1973,31.5,1973,1343,184,177,253,1495,1438,13,121,001205,Fulton,9.28,0.85,56.79,96.19
Census Tract 12.06; Fulton County; Georgia,126410,3319,359,2948,1008,3231,2745,126,412000,1913,2452,1429,1023,3319,34.7,3319,2364,77,256,281,2452,2150,13,121,001206,Fulton,10.82,4.59,58.28,87.68
Census Tract 13.01; Fulton County; Georgia,71086,2812,273,2706,1232,3038,2171,172,617600,1450,1661,428,1233,3271,32.0,3271,2556,447,82,186,1661,1661,13,121,001301,Fulton,9.71,7.92,25.77,100.0
Census Tract 13.02; Fulton County; Georgia,129750,1965,426,1469,478,1670,1451,31,585500,1617,1113,626,487,2050,36.4,2050,1312,726,12,18,1113,1064,13,121,001302,Fulton,21.68,2.14,56.24,95.6
Census Tract 14; Fulton County; Georgia,91943,2302,166,1879,887,2092,1736,19,488000,1762,1489,581,908,2302,31.3,2302,1960,201,79,44,1489,1483,13,121,001400,Fulton,7.21,1.09,39.02,99.6
Census Tract 15.01; Fulton County; Georgia,63867,2334,228,2068,912,2155,1629,35,810100,1501,1483,272,1211,2334,38.6,2334,1627,464,171,51,1483,1335,13,121,001501,Fulton,9.77,2.15,18.34,90.02
Census Tract 15.02; Fulton County; Georgia,87206,2127,198,1617,713,1694,1289,27,891500,1384,1034,524,510,2127,37.1,2127,1621,87,67,459,1034,1034,13,121,001502,Fulton,9.31,2.09,50.68,100.0
Census Tract 16; Fulton County; Georgia,116385,2318,100,2112,1103,2233,1992,44,651600,1874,1435,416,1019,2318,34.4,2318,1983,160,94,111,1435,1296,13,121,001600,Fulton,4.31,2.21,28.99,90.31
Census Tract 17.01; Fulton County; Georgia,98086,2169,663,1406,663,1585,1149,111,668400,1794,985,251,734,2169,28.2,2169,1070,912,115,123,985,916,13,121,001701,Fulton,30.57,9.66,25.48,92.99
Census Tract 17.02; Fulton County; Georgia,120304,3653,297,2869,1296,3451,2871,19,1072900,1970,2441,756,1685,3653,30.9,3653,2703,646,205,11,2441,2420,13,121,001702,Fulton,8.13,0.66,30.97,99.14
Census Tract 18.01; Fulton County; Georgia,34219,2412,1190,1849,347,2412,1270,223,269200,328,1650,330,1320,2412,48.0,2412,909,1256,58,162,1650,1049,13,121,001801,Fulton,49.34,17.56,20.0,63.58
Census Tract 18.02; Fulton County; Georgia,66875,2577,199,1927,648,2290,1950,17,247700,1536,1669,773,896,2577,31.4,2577,1032,1222,242,87,1669,1628,13,121,001802,Fulton,7.72,0.87,46.32,97.54
Census Tract 19.01; Fulton County; Georgia,56204,1589,7,245,0,3173,1555,197,-666666666,1388,238,0,238,3862,20.2,3862,1238,1637,728,330,238,238,13,121,001901,Fulton,0.44,12.67,0.0,100.0
Census Tract 19.02; Fulton County; Georgia,73618,2337,305,1968,725,2310,2066,115,296100,1855,1724,840,884,2337,35.6,2337,679,1232,137,87,1724,1596,13,121,001902,Fulton,13.05,5.57,48.72,92.58
Census Tract 21; Fulton County; Georgia,63455,2578,739,2285,656,2471,1959,243,395200,1682,1433,529,904,2578,42.7,2578,617,1670,195,51,1433,1223,13,121,002100,Fulton,28.67,12.4,36.92,85.35
Census Tract 23; Fulton County; Georgia,36050,1129,365,822,160,822,406,0,203100,730,579,139,440,1129,39.8,1129,24,1070,0,28,579,363,13,121,002300,Fulton,32.33,0.0,24.01,62.69
