STALPBR,BKCLASS,ZIPBR,DEPSUM,MSABR,UNINUMBR,ASSET,CNTYNAMB,ADDRESBR,YEAR,STCNTYBR,DEPSUMBR,MSANAMB,CERT,CITYBR,BRNUM,ID
GA,SM,30308,165212451,12060,550.0,202064278,Fulton,"303 Peachtreet Street, Northeast",2018,13121,32966487,"Atlanta-Sandy Springs-Roswell, GA",867,Atlanta,0,2018_867_0
GA,SM,30308,162671910,12060,550.0,202481382,Fulton,"303 Peachtreet Street, Northeast",2017,13121,36671889,"Atlanta-Sandy Springs-Roswell, GA",867,Atlanta,0,2017_867_0
GA,SM,30308,162541913,12060,550.0,216296957,Fulton,"303 Peachtreet Street, Northeast",2019,13121,32753884,"Atlanta-Sandy Springs-Alpharetta, GA",867,Atlanta,0,2019_867_0
GA,SM,30308,155354194,12060,550.0,194679406,Fulton,"303 Peachtreet Street, Northeast",2016,13121,33219977,"Atlanta-Sandy Springs-Roswell, GA",867,Atlanta,0,2016_867_0
GA,SM,30308,147881358,12060,550.0,184222885,Fulton,"303 Peachtreet Street, Northeast",2015,13121,29473061,"Atlanta-Sandy Springs-Roswell, GA",867,Atlanta,0,2015_867_0
GA,SM,30308,136869143,12060,550.0,178360920,Fulton,"303 Peachtreet Street, Northeast",2014,13121,25959015,"Atlanta-Sandy Springs-Roswell, GA",867,Atlanta,0,2014_867_0
GA,SM,30308,130414635,12060,550.0,172028459,Fulton,"303 Peachtreet Street, Northeast",2012,13121,22884379,"Atlanta-Sandy Springs-Roswell, GA",867,Atlanta,0,2012_867_0
GA,SM,30308,129859428,12060,550.0,167101823,Fulton,"303 Peachtreet Street, Northeast",2013,13121,23449860,"Atlanta-Sandy Springs-Roswell, GA",867,Atlanta,0,2013_867_0
GA,SM,30308,126776134,12060,550.0,165800581,Fulton,"303 Peachtreet Street, Northeast",2011,13121,20843534,"Atlanta-Sandy Springs-Roswell, GA",867,Atlanta,0,2011_867_0
GA,SM,30308,118808539,12060,550.0,160508913,Fulton,"303 Peachtreet Street, Northeast",2010,13121,17470903,"Atlanta-Sandy Springs-Roswell, GA",867,Atlanta,0,2010_867_0
GA,SM,30308,118532355,12060,550.0,170139951,Fulton,"303 Peachtreet Street, Northeast",2009,13121,19317195,"Atlanta-Sandy Springs-Roswell, GA",867,Atlanta,0,2009_867_0
GA,SM,30308,117956301,12060,550.0,181442168,Fulton,"303 Peachtreet St, N.E.",2006,13121,24823945,"Atlanta-Sandy Springs-Roswell, GA",867,Atlanta,0,2006_867_0
GA,SM,30308,114579509,12060,550.0,177067146,Fulton,"303 Peachtreet Street, Northeast",2007,13121,22982649,"Atlanta-Sandy Springs-Roswell, GA",867,Atlanta,0,2007_867_0
GA,SM,30308,114276117,12060,550.0,171500853,Fulton,"303 Peachtreet Street, Northeast",2008,13121,24203431,"Atlanta-Sandy Springs-Roswell, GA",867,Atlanta,0,2008_867_0
GA,SM,30308,105847241,12060,550.0,167395304,Fulton,"303 Peachtreet St, N.E.",2005,13121,17364351,"Atlanta-Sandy Springs-Roswell, GA",867,Atlanta,0,2005_867_0
GA,SM,30308,78171321,12060,550.0,125880597,Fulton,"303 Peachtreet St, N.E.",2004,13121,9123729,"Atlanta-Sandy Springs-Roswell, GA",867,Atlanta,0,2004_867_0
GA,SM,30308,74459262,12060,550.0,118745163,Fulton,"303 Peachtreet St, N.E.",2003,13121,8237545,"Atlanta-Sandy Springs-Roswell, GA",867,Atlanta,0,2003_867_0
GA,SM,30308,69028478,12060,550.0,105158409,Fulton,"303 Peachtreet Street, Northeast",2002,13121,4585348,"Atlanta-Sandy Springs-Roswell, GA",867,Atlanta,0,2002_867_0
GA,SM,30308,60291519,12060,550.0,98093581,Fulton,"303 Peachtreet Street, Northeast",2001,13121,3917709,"Atlanta-Sandy Springs-Roswell, GA",867,Atlanta,0,2001_867_0
GA,SM,30303,57796821,12060,550.0,96986322,Fulton,"1 Park Place, N.E.",2000,13121,4114083,"Atlanta-Sandy Springs-Roswell, GA",867,Atlanta,0,2000_867_0
GA,SM,31901,50771713,17980,556.0,60919986,Muscogee,33 W 14th St.,2025,13215,0,"Columbus, GA-AL",873,Columbus,0,2025_873_0
GA,SM,31901,50744903,17980,556.0,59480339,Muscogee,1111 Bay Ave,2024,13215,3749239,"Columbus, GA-AL",873,Columbus,0,2024_873_0
GA,SM,31901,50637902,17980,556.0,60548277,Muscogee,1111 Bay Ave,2023,13215,3363425,"Columbus, GA-AL",873,Columbus,0,2023_873_0
GA,SM,31901,49534990,17980,556.0,57282102,Muscogee,1111 Bay Avenue,2022,13215,2864425,"Columbus, GA-AL",873,Columbus,0,2022_00873_0
GA,SM,31901,47598438,17980,556.0,54872532,Muscogee,1111 Bay Avenue,2021,13215,3431780,"Columbus, GA-AL",873,Columbus,0,2021_873_0
GA,SM,31901,44668074,17980,556.0,54039707,Muscogee,1111 Bay Avenue,2020,13215,7672011,"Columbus, GA-AL",873,Columbus,0,2020_873_0
GA,SM,31901,38358417,17980,556.0,47227329,Muscogee,1111 Bay Avenue,2019,13215,5375916,"Columbus, GA-AL",873,Columbus,0,2019_873_0
GA,N,30308,33632346,12060,1424.0,47834464,Fulton,"600 Peachtree Street, N.E.",1996,13121,3610509,"Atlanta-Sandy Springs-Roswell, GA",2155,Atlanta,0,1996_2155_0
GA,SM,31901,26834449,17980,556.0,31625463,Muscogee,1111 Bay Avenue,2018,13215,4548403,"Columbus, GA-AL",873,Columbus,0,2018_873_0
GA,NM,31901,26135492,17980,556.0,31990604,Muscogee,1148 Broadway,2010,13215,3343178,"Columbus, GA-AL",873,Columbus,0,2010_873_0
GA,SM,31901,25465778,17980,556.0,30534286,Muscogee,1111 Bay Avenue,2017,13215,3525353,"Columbus, GA-AL",873,Columbus,0,2017_873_0
GA,NM,31901,24149130,17980,556.0,29218253,Muscogee,1111 Bay Avenue,2016,13215,3220073,"Columbus, GA-AL",873,Columbus,0,2016_873_0
GA,NM,31901,22889465,17980,556.0,27936041,Muscogee,1111 Bay Avenue,2015,13215,3071395,"Columbus, GA-AL",873,Columbus,0,2015_873_0
GA,NM,31901,22787351,17980,556.0,27908468,Muscogee,1111 Bay Avenue,2011,13215,4362927,"Columbus, GA-AL",873,Columbus,0,2011_873_0
GA,NM,30305,22113152,12060,14145.0,26601583,Fulton,3490 Piedmont Rd Ne,2025,13121,2255260,"Atlanta-Sandy Springs-Roswell, GA",20504,Atlanta,0,2025_20504_0
GA,NM,31901,21589578,17980,556.0,26040101,Muscogee,1111 Bay Avenue,2012,13215,3094182,"Columbus, GA-AL",873,Columbus,0,2012_873_0
GA,NM,30305,21574192,12060,14145.0,26428915,Fulton,3490 Piedmont Rd Ne,2024,13121,2354282,"Atlanta-Sandy Springs-Roswell, GA",20504,Atlanta,0,2024_20504_0
